"Key","Source","Translation"
"0D64D25A4E60BDD2A368AF938668C95F","Aye, but the Guard is recruiting more and more of us every day!","Aye, but the Guard is recruiting more and more of us every day!"
"6893A32F40D189F414E259A51F40A4DE","BOOM! Eat that!","БАХ! Викуси це!"
"964C719C471BA2F9865F99BB37C7DBB2","BOOM! Eat that!","БАХ! Викуси це!"
"DCC80FC1402330E50729409BC02736ED","BOOM! Eat that!","БАХ! Викуси це!"
"7432BD7D460EF26C245931A01F41A1C0","BOOM! Eat That!","БАХ! Викуси це!"
"57300D8742DC49FD86D4AA8EFDDF9047","Back in the grave, you!","Повертайся в могилу!"
"0441DD91481D1CF813CB62A09926DE5C","Back, demon! Back!","Назад, демоне! Назад!"
"544782FE48164DFE7E43AA96C5C8FF00","Back, demon, back!","Назад, демоне! Назад!"
"0DAC76E048FFBE2EC38B1AA25CA3E8B1","Fucking Bastard !","Йобаний виродок !"
"10E4E36641524B4D491564BAEA78609E","Fucking Bastard !","Йобаний виродок !"
"E50535A449D9A5A9947308B58CFDD1A0","Fucking Bastard !","Йобаний виродок !"
"3C217BAD4DD44FFA02D7D2961F64986C","Be strong, brothers!","Будьте сильними, браття!"
"01088F504C6CD3D15058C4ABD9E7A7F6","Beast! Murderer!","Звір! Убивця!"
"EB8BC1094C4819A2CBECC38184E6BAB3","Because you spared Sean Hampton, don't expect the same mercy from me!","Because you spared Sean Hampton, don't expect the same mercy from me!"
"237645F441987C28DEB68D80F33D79D8","Behold, kinslayer, the disgrace of she whose beauty was once renowned! Will she be the queen again once they all share her fate?","Behold, kinslayer, the disgrace of she whose beauty was once renowned! Will she be the queen again once they all share her fate?"
"1E70C8144C7626E5FBC41D8238E9298F","Best be moving on!","Краще рухатися далі!"
"6D1401E44533DAC97A80AEA86A7ED98E","Best be moving on!","Краще рухатися далі!"
"6D8A269F4F64A241B27F728739767BDA","Best be moving on!","Краще рухатися далі!"
"E5C445F942055E5971179B9F46086FCD","Best be moving on!","Краще рухатися далі!"
"176F7BDF4F11884D8DD142AE21161F62","Best be off home!","Краще йди додому!"
"5435BF8A439E8ADEE627C3AD453F4F38","Best be on to your home.","Краще повертайтеся додому."
"C21CBD834413CC8A7DDFC59B112CC11C","Best be on your way home!","Краще повертайтеся додому!"
"8376A79548F399499D85EDBAFC50D4B7","Best run along home, sir!","Краще біжіть додому, сер!"
"AF69D64B404D918F8E4573B9F2CE09A2","Best run along home, sir!","Краще біжіть додому, сер!"
"BDBDB0A2438B5EBD2BE735BEFF7E7AA4","Best run along home, sir!","Краще біжіть додому, сер!"
"E8177B1240AC66C9529849A5DD5582C5","Best run along home, sir!","Краще біжіть додому, сер!"
"0FC7AB9F47BAC7B6415A1793468CD3DC","Best stay back, sir!","Краще не підходьте, сер!"
"B51DB0B941551D011076F4A241CF441E","Best stay back, sir!","Краще не підходьте, сер!"
"BAC50466402ABC9E7F689D81AC4CFB93","Best stay back, sir!","Краще не підходьте, сер!"
"E2699E7F4250D0204864E5A8549150A5","Best stay back, sir!","Краще не підходьте, сер!"
"E337213B41325984DF72D98785F56AE7","Best stay back, sir!","Краще не підходьте, сер!"
"241647884D3A22461821F4AD1779AAE2","Best turn around, if I were you!","На твоєму місці я б розвернувся!"
"5057C7934F9E83F6BCC0ED857F127493","Best turn around, if I were you!","На твоєму місці я б розвернувся!"
"69E4553A43C75CBA3BFE77A48210ED94","Best turn around, if I were you!","На твоєму місці я б розвернувся!"
"B792A54B4C962587F43F6A9710D6583A","Best turn around, if I were you!","На твоєму місці я б розвернувся!"
"D2DD6CB94EEE8CB1A5F12E903ED15D07","Best turn around, if I were you!","На твоєму місці я б розвернувся!"
"067FC9E047C8758EB2B8BCA7B6384A97","Better go home, sir!","Краще йдіть додому, сер!"
"FEE398EB4BFD523D04D73AA7BAEEE699","Better go home, sir!","Краще йдіть додому, сер!"
"7EFECD2A497D6D9F4C0C0D9D10DBFF06","Blood sucker! I'll stick you like a pig!","Кровопивця! Я заріжу тебе як свиню!"
"D64B0DCB405454C30A56A2B6402B2843","Blood! Feed me! Give me their lives!","Кров! Нагодуй мене! Дай мені їхні життя!"
"131FA90F482020C7F83152A2A63BD6D3","Bloody leech!","Кривавий ліч!"
"51214AE94E25F952FA2757AFA6F4D6A2","Bloody leech!","Кривавий ліч!"
"B60BF2C34B696239E39072A2D2DB2EED","Bloody leech!","Кривавий ліч!"
"D9148A2248105FF49160DF9FA5AB0086","Bloody leech!","Кривавий ліч!"
"DE803D8C432F561370675EABA4DEC834","Bloody leech!","Кривавий ліч!"
"4D00E1CF47504EA6A22204B65ADE12ED","Bloody leeches! I'll cut down the first one to show its face!","Криваві лічі! Я приб'ю першого ж, хто покажеться!"
"57A2B86D4BA256ED1E75CC9E87BE6681","Bloody monster!","Криваве чудовисько!"
"84AE2EA54D64E2B2BFBD1BB60689DA5C","Bloody monster!","Криваве чудовисько!"
"279753794A1BF4C2267937A3C5EA1AF2","Bloody vermin!","Кривава нечисть!"
"30431A76473644F696A747B330770F36","Bloody vermin!","Кривава нечисть!"
"AFCC1A8D42E04F6857D6808A4909C441","Bloody vermin!","Кривава нечисть!"
"1DBC54234F8DC4D139106CB36BD39803","Brother of mine! The sleeper has awakened! ","Брате мій! Сплячий прокинувся! "
"08D948CB45CA1EF540A98C890109F662","Burn 'em – that's what you do with leaches!","Паліть їх! Ось що слід робити з лічами!"
"097EA0954ED8A6C0A0F3A0A63BFEDA2B","Burn, vermin!","Гори, нечисте!"
"0B300B2B485727C35A9DE49DB350DF1E","Burn 'em – that's what you do with leaches!","Паліть їх! Ось що слід робити з лічами!"
"35B5B0F84001FD55A774DC9CB6E19B09","Burn 'em – that's what you do with leaches!","Паліть їх! Ось що слід робити з лічами!"
"615453784A4B03A8E931CFA186E44CC0","Burn, vermin!","Гори, нечисте!"
"6F5155F24DB0AEAE418DA593DC636762","Burn 'em – that's what you do with leaches!","Паліть їх! Ось що слід робити з лічами!"
"1AB764CF4B873CF42A35F18FBD01F313","Burn it!","Спаліть його!"
"1B56F3ED4DD17A27CD8578B38A462426","Burn it!","Спаліть його!"
"42C2CA284F562556BD0156AD0F4D0307","Burn it!","Спаліть його!"
"6A1236BC48DA26F0CABCC98DD3DC96F9","Burn it!","Спаліть його!"
"F99019C944E5AC8EE5833A8D90579B04","Burn it!","Спаліть його!"
"037BF43A40FCBAF8CE11B3849E10B24D","Burn it, boys!","Спаліть його, хлопці!"
"0429A5544E1485DBA47316B6EDB8C8DD","Burn it, boys!","Спаліть його, хлопці!"
"192BB30C408B7CDFBC85EDA81BD543E4","Burn it, boys!","Спаліть його, хлопці!"
"552810D147A6FBBB5EE3F09F400BE1A9","Burn it, boys!","Спаліть його, хлопці!"
"3D58ECC543A9D4365A31CA986FFDFD58","Burn, vermin!","Гори, нечисте!"
"4DA0E7D648AF602DC03C13BCF8948BBE","Burn, vermin!","Гори, нечисте!"
"678FF392471739FA383740926830493F","Burn, vermin!","Гори, нечисте!"
"CBCC96644888BA0BD8930EA2B94B6965","Burn, vermin!","Гори, нечисте!"
"F58107EE4A3FA36632EECE9857992B95","Burn, vermin!","Гори, нечисте!"
"93B44775443A28A86785FE9F4D0CE3D8","Burn, you fucker!","Гори, паскудо!"
"D87D46CE4AE0C27F3828F68D54C8B768","Burn, you fucker!","Гори, паскудо!"
"E39281BC495F1FA75F9E89A2725F27CF","Burn, you fucker!","Гори, паскудо!"
"437CEC0F4F34D73901B36FA032DF453C","Oh, Christ! He's dead!","Ох, Ісусе! Це мертвяк!"
"4E4F536B4B4384BF2D55288B453A145A","Christ, he's dead!","Господи, це мертвяк!"
"8D7F85BE482408300055508DDCC3B559","Christ, he's dead!","Господи, це мертвяк!"
"3F45439C4B20F288482DB3827669E429","Christ, he's dead...","Господи, це мертвяк..."
"88EFBB5B4C64D5B3F2684D9230A99E63","Christ, he's dead...","Господи, це мертвяк..."
"1C5BA1E2422DC98E566244BCFBE8D65A","Clever fucking beast!","Розумна йобана тварюка!"
"1ED604FE4A399641BA0DD3A8F38E3F10","Clever fucking beast!","Розумна йобана тварюка!"
"7ED6CD0947A9EA112B8DBE8FF2779166","Clever fucking beasts!","Розумна йобана тварюка!"
"B8CAC476487E562BF43DE790E03288F7","Clever fucking beasts!","Розумна йобана тварюка!"
"DE7039AB42E657EA5FA6F9968ACC6C98","Clever fucking beasts!","Розумна йобана тварюка!"
"3A88D9B84BF27B14003D17BFD33B3118","Close your eyes! It's gonna hurt!","Заплющте очі! Буде боляче!"
"22BAE2A445E27B4968321EABBC670B1A","Come back here and fight!","Повернися та бийся!"
"62092DB74E7485B56CB02DAF48CB983A","Come back, here and fight!","Повернися та бийся!"
"CD00C5A34EA112B40B9B3AA7D2D14DE8","Come back here and fight!","Повернися та бийся!"
"D37F07A442FC6D477FF9CCBCE9C10E7D","Come back, here and fight!","Повернися та бийся!"
"A3C992624EC852ABCDBB58BB1C371418","Fuck! Come back, you!?","Блядь! Ти, повернися!?"
"9C0CE34640E65236D2F0E2A9501B54F1","Come on, Reid! Try something else!","Ну ж бо, Ріде! Спробуй щось інше!"
"940DEDAA4CE4F39118FE4DBE06BF6693","Come to me, Jonathan!","Ходи до мене, Джонатане!"
"1DDE53734FF0BEAB76FEAE9C3C515171","Come to me, my servants! Avenge me!","Прийдіть до мене, слуги мої! Помстіться за мене!"
"3442FCCA4FAFD700647588B230FEC7BA","Crawl back to the hell that spawned ya!","Повзи назад до пекла з якого ти виліз!"
"664CE7FB457EC51CE96D03890C0931B6","Crawl back to the hell that spawned ya!","Повзи назад до пекла з якого ти виліз!"
"203DF3FC4CE8F92B8EDF2DB8FC7ED6FB","Crush that leech, boys!","Розчавіть цього ліча, хлопці!"
"22043C50489F1A9DF249D99787A10805","Crush that leech, boys!","Розчавіть цього ліча, хлопці!"
"4EE8ED2F4277A4ED7307BEBF671C47CE","Crush that leech, boys!","Розчавіть цього ліча, хлопці!"
"C34B3B4D45D246D3DD1747A55682C4DE","Crush that leech, boys!","Розчавіть цього ліча, хлопці!"
"D2678CBA41EE06E9B91C4FA90575ECF8","Crush that leech, boys!","Розчавіть цього ліча, хлопці!"
"D4B037B84820F323FC8C728C13FE7A45","Crush that leech, boys!","Розчавіть цього ліча, хлопці!"
"47336C1341D8A32BF93CA2852CFA7300","Damn! Where is it?","Трясця! Де він?"
"ABB0F8904EDBA896079EFCBAECFEF99E","Dear, God!","О, Боже!"
"D7850FB94CE873339B3199A6A6E73C6F","Dear, God!","О, Боже!"
"0F0C568348DFB6D0155E79959DE6B085","Destroy it!","Знищіть його!"
"49DC67234D4B60A95CAF4CAA92947A64","Did you hear me?","Ти чув мене?"
"6EE11D4D41C79BDAAD39CE967FCB73F0","Did you hear me?","Ти чув мене?"
"800099AC436819CCD279068B7F6AE014","Did you hear me?","Ти чув мене?"
"2082C0014399719A0D94DE804EEA8348","Did you read McCullum's last note?","Did you read McCullum's last note?"
"2AC18E784FFB5243DCA463B962658438","Didn't you hear me?","Ти не почув мене?"
"F0B5375C47B8E6E4D6852DBB9C07CCC5","Die Newborn!","Помри, новонароджений!"
"00C322624B2C31AB33B0F2A262323161","Die!","Здохни!"
"058CC6A14F5756B413DFD5B0C7306708","Die!","Здохни!"
"10D296A0462351FE1F671898ADBBC889","Die!","Здохни!"
"228E64504768E13FFF8DBEA0106EE105","Die!","Здохни!"
"32D4B99441E8CC1C50F0FDB236223651","Die!","Здохни!"
"C53EDE404FF63FE33F3508B2230FB978","Die!","Здохни!"
"28F8E6B848E4395F32E7BD8DDE9589F9","Die, beast!","Помри, тварюко!"
"3C6194B949E5977A585343BA7DDECF89","Die, beast!","Помри, тварюко!"
"8FE032D14EE9070379916A9449780661","Die, fucking arsehole!","Здохни, йобаний мудак!"
"82A8D6854003D73E8DAAA79EC9E1DE3B","Die, leach!","Здохни, ліч!"
"F94FE16A46A7670C6829C5AD16091340","Die, leach!","Здохни, ліч!"
"5A7578D64C0004764C2156AA37E43231","Die, newborn!","Помри, новонароджений!"
"A8C446C14E4A469DFDA372B6BD7E021B","Die, traitor!","Помри, зраднику!"
"3149258D45FF5524ECF8D0B9061759B0","Die, vermin!","Помри, нечисте!"
"432674FB470CF8A7CB8679B322D14041","Die, vermin!","Помри, нечисте!"
"73EA3F354EA3F91AAAB09C9CABDC5D8D","Die, vermin!","Помри, нечисте!"
"90E957DA48B3679E6F45579618E360EF","Die, vermin!","Помри, нечисте!"
"0EC502964C902E7F625849A567DE6680","Disappeared into thin air!","Розчинився в повітрі!"
"9C34125C4844DA5A060E8F9766175535","Disappeared into thin air!","Розчинився в повітрі!"
"D94C90AB4059254B1BC9DBBBC6807117","Disappeared into thin air!","Розчинився в повітрі!"
"F1B4540344C55851401D75B49C967202","Disappeared into thin air!","Розчинився в повітрі!"
"2884BBBB41B7E5D459D2CA9913E1CB25","Doesn't like fire, does it!","Не подобається вогонь, чи не так!"
"5517419B4D9E3D17B0A3C19F52F2F423","Doesn't like fire, does it!","Не подобається вогонь, чи не так!"
"A1C8A7184AD0D0EBC362368828D37388","Doesn't like fire, does it!","Не подобається вогонь, чи не так!"
"A78264414146F6C988E145A8C87F8EF7","Doesn't like fire, does it!","Не подобається вогонь, чи не так!"
"EB79A58A46081DD993D34FADE24ABF50","Doesn't like fire, does it!","Не подобається вогонь, чи не так!"
"4618592A46A64FBB1ECF768777355884","Don't come any closer!","Не підходь ближче!"
"11F29DA5420B15F7E3D1EE8B363B3EF9","Don't come any further!","Не підходь ближче!"
"8F9129C94287EE057BB1DAAEF2ADC67F","Don't come any further!","Не підходь ближче!"
"ACAD00874C1C3B278293438D4924277F","Don't come closer!","Не підходь ближче!"
"10F721FE4DCE34557CDBF3BA88598AE7","Don't come closer, sir!","Не підходьте ближче, сер!"
"43DF8E36481C47E61B6FC68B05B2A32B","Hey! Don't come no closer!","Агов! Не підходь ближче!"
"5F099C0E4FF33E19B09244AED6DC74FE","Don't die too quickly! I want to see you suffer! ","Не помирай так швидко! Я хочу побачити твої страждання! "
"121CA68D491324E4E5D2B896C7FD5A42","Don't forget to check every door!","Не забудьте перевірити кожні двері!"
"07256833421A5430221ABD812F2C8CEB","Don't like that, do ya?","Не подобається, так?"
"77216E2E48BD00508B16C7AF346E9E0A","Don't like that, do ya?","Не подобається, так?"
"9447021446F97168E20C78B8BCE3F6EF","Don't like that, do ya?","Не подобається, так?"
"B587BF8D4F28445CD53C58ACD2D7C423","Don't like that, do ya?","Не подобається, так?"
"6BC134084881C0E4CD84A887D7F2080F","Don't you know better?","Don't you know better?"
"B5D301434E16EB087D981DA5A287C5A2","Dont come any fucking closer!","Блядь, не підходь ближче!"
"DE7B418645E7662F33E66E9D8CD2E1E5","Dont come any fucking closer!","Блядь, не підходь ближче!"
"383114AB46C34F3D2FC667898BA4A58F","Don’t forget to check every door!","Не забудьте перевірити кожні двері!"
"4A517F0B4F5501C0659623BBE67E2964","Don’t like this silence!","Не подобається ця тиша!"
"1BCF6B6C40A22272C68A6C93BA28950F","Door is locked!","Двері зачинені!"
"FA01AF22459FA0006FE9AA834DF90DDF","Down, stay down!","Down, stay down!"
"2D09476944C3E30881D4339EC32CE50A","Drink! Drink! Drink!","Пий! Пий! Пий!"
"8491B7364C2E74C63D6CABB3D1A681AB","Easy boys! Don’t forget; check every roof and every door!","Easy boys! Don’t forget; check every roof and every door!"
"320A733A4D83F3BCBC3B6393F849392E","Easy does it, boys! We can deal with this vermin!","Easy does it, boys! We can deal with this vermin!"
"D31C71AF416227C041C00FB5E7F9E6BD","Easy does it, boys! We can deal with this vermin!","Easy does it, boys! We can deal with this vermin!"
"D94BAC1D49336D98EDA18F91AA03CB9C","Easy does it, boys! We can deal with this vermin!","Easy does it, boys! We can deal with this vermin!"
"52D948CA421055D1989380B5129FBE95","Easy, Billy boy! This corpse is drained dry! Whoever did this is long gone!","Easy, Billy boy! This corpse is drained dry! Whoever did this is long gone!"
"354599664EE4B5E49258C4A3606F17DA","Eat this!","Викуси!"
"3CDDB99741CB3B21A5F6CE87773169FE","Eat this!","Викуси!"
"74A8FF20478C2AC2D6C45BA402843996","Eat this!","Викуси!"
"D3CDA6B24E684E4E7927F984B83DC2CA","Eat this!","Викуси!"
"13F05F8947631AD6423BA2B082A87734","Eat, for this is my body!","Eat, for this is my body!"
"2811CF7B4B0A5DC6B2B069B6B9D8DC28","En garde!","До бою!"
"1CDE736A4D822311833D08B83196EC98","Face the true power of the shadows!","Пізнай істинну силу тіней!"
"52E086A9496C70E041C86091E9E42411","Fangs on the jugular! You fight like a rabid beast!","Fangs on the jugular! You fight like a rabid beast!"
"186AD9FE4FB8ACEF1E1E6C963E0CAEBE","Fear no evil! We do the Lords work here!","Fear no evil! We do the Lords work here!"
"603AC2504AE777034DD5E48108FBEDB6","Fear no evil, we do the Lords work here!","Fear no evil, we do the Lords work here!"
"3D320336454B28D5B875A7A2793165E4","Feed your mother, child!","Нагодуйте свою матір, дитя!"
"204611674DC86EDEBFF67D86EE8E107E","Filthy Vermin! Keep sharp, lads!","Filthy Vermin! Keep sharp, lads!"
"53FB2037465D8D513C9123B9A758C258","Filthy fucking beast!","Брудна йобана тварюка!"
"FCB10A23451C1D111A14CBB34CFF331B","Filthy fucking beast!","Брудна йобана тварюка!"
"B13D1B51430F36D2879ADE9A195813F3","Filthy murdering bastard!","Мерзенний вбивця!"
"EE2A59EF49DDCAA95F910DB280631556","Filthy murdering bastard!","Мерзенний вбивця!"
"FBB8FBBF403F2314C69DBA94BA538EF2","Filthy murdering bastard!","Мерзенний вбивця!"
"5234E71A485614BE44E9CBA81B7EE146","Filthy piece of shit!","Мерзенний шматок лайна!"
"8ACF36D346D187EACD07F7BD56B1B195","Filthy piece of shit!","Мерзенний шматок лайна!"
"B675BFC746878B1F4135FFBB54CA482D","Find me if you can!","Знайди мене, якщо зможеш!"
"148D042C425A8FD386D141A6DFB65AB7","Finish it!","Прикінчіть його!"
"21539C5F4EFADE7849357189B971740D","Finish it!","Прикінчіть його!"
"29D0A60649623CB1EFCBAB8B1F90DF90","Finish it!","Прикінчіть його!"
"34F4C7D04029F67F7BCC4882490D1A2C","Finish it!","Прикінчіть його!"
"5086633A4C0E9419D6966D9B7EB1306F","Finish it!","Прикінчіть його!"
"9517ED8E414877D0F62C05B9726EFF11","Finish it!","Прикінчіть його!"
"C73594034182DEEFD0FA1196447821A8","Finish it!","Прикінчіть його!"
"EF376D2140354972429864A3A9EB0F0E","Fire will cleanse the city!","Вогонь очистить це місто!"
"8D76EA744F4764C73D98DD9AB0688B40","Foolish Ekon!","Дурний екон!"
"97A7E6FA41FBC9CA544AF796BAD985AA","Foolish Ekon!","Дурний екон!"
"3D8618094880957CD80694BBEB261C9B","For Ascalon!","За Аскалон!"
"86224C8549D6AC63CA0F559D9E21DA5B","For mankind! For my family!","За людство! За мою сім'ю!"
"190470B943532605F58896BB02BAA4E1","Fuck it's fast!","Блядь, він швидкий!"
"551ED9934B6E61116EAD5AB255106304","Fuck it's fast!","Блядь, він швидкий!"
"769209A74EAB2417222AC1B09704AA17","Fuck it's fast!","Блядь, він швидкий!"
"42E0E322416989AFD61BDB91155DE55B","Fuck no!","Блядь, ні!"
"5CA0DAD846BDEB5B71930BA746A21283","Fuck no!","Блядь, ні!"
"764595A8467BFDD2B6A279875A12445A","Fuck no!","Блядь, ні!"
"6E443EEC4FD85B95C048C3BC8F24F6EF","Fuck! Where'd it go?","Блядь! Де він дівся?"
"4118757A48193768AA79A5A862EDDC5A","Fuck! he's dead!","Блядь! Це мертвяк!"
"A49AD87447D34740C1C4A3BFF482DDAE","Fuck, it's bitiin!","Блядь, воно кусається!"
"27A5748A41964E2A6CEBDFB239AFF980","Fuck, it's biting","Блядь, воно кусається"
"A18371184BAF9030AC5BC4BAABBD9BD1","Fuck, it's biting","Блядь, воно кусається"
"A82C6E3B4F308971C1AA23B2C32F7304","Fuck, it's biting","Блядь, воно кусається"
"37A289BE4BDA654A5E60BAB138E4F576","Fuck, it's bitting!","Блядь, воно кусається!"
"34C9347A45D07EECD053E38A61B42591","Fucking bastard!","Йобаний виродок!"
"04BFE90D4BF79ACF8EEA07BD954EE80F","Fuck… Come back, you!?","Блядь... Ти, повернися!?"
"89CEDBE04C5554ACF07EE38FDDF11C6B","Get a taste of this!","Скуштуй ось це!"
"BDB62494407B4E3F7C0FF8B07E4ED854","Get a taste of this!","Скуштуй ось це!"
"F228727542281F1983D75484DCD5251E","Get a taste of this!","Скуштуй ось це!"
"0754B4AF45D824D2BCBE9EAF97004C66","Get them weapons ready! We've found one!","Зброю до бою! Ми знайшли одного!"
"1E2735224A83EF6DFB9EEAB572982B68","Get them weapons ready! We've found one!","Зброю до бою! Ми знайшли одного!"
"699672A84BB3D01109C401BC37498C0B","Get them weapons ready! We've found one!","Зброю до бою! Ми знайшли одного!"
"77D7FC38403F8CCAB5F202B08811D9BF","Get them weapons ready! We've found one!","Зброю до бою! Ми знайшли одного!"
"B6EC3AB245485444C1030E95A5D0EDFD","Get them weapons ready! We've found one!","Зброю до бою! Ми знайшли одного!"
"4F628B86461D3CC21E7E9CB7B4F17DC2","Giselle was right! Arseholes you are, all of you!","Жізель мала рацію! Ви мудаки, усі ви!"
"4CCD89C740D820C8CD6A4D9738F569F6","Give me more! They are so young, so tasty!","Give me more! They are so young, so tasty!"
"168296E0445F78A7A157DAA6602BCA2B","Give me your blood!","Дай мені своєї крові!"
"6D80F257431031EC1A54A19F1F80551B","Give me your blood!","Дай мені своєї крові!"
"A618D51045DADE7E6FE69BA93D5CECA4","Give me your blood, priest!","Віддай мені свою кров, священнику!"
"4D1B8DAB417C168280314DB61E78DE87","Go back home, idiot!","Повертайся додому, бовдуре!"
"B2CC87EE46AEE5675A95448ECE4D1B79","Go back home, idiot!","Повертайся додому, бовдуре!"
"D7ED49EC4D67704F60145A9CF899B132","Go back home, idiot!","Повертайся додому, бовдуре!"
"30D312384B2568A040D60BA7B7D4F7A1","Go on, back to the shadows!","Давай, повертайся до тіней!"
"59BB84E74D7648CE6CB101829A489410","Go on, back to the shadows!","Давай, повертайся до тіней!"
"CFCD38D649A1C66B1E8EF19E943CC020","Go on, off you trot!","Давай, риссю!"
"F889328E4C978D9BBFB3F6AA57985ABB","Go on, off you trot!","Давай, риссю!"
"0A91AE9F463A72EA375BBD9D7E25A59E","God walks with me!","Господь іде зі мною!"
"E295FE3243C68F69604BBCB093CD8DB8","God walks with me!","Господь іде зі мною!"
"DB59EBC94CC49EE9AB16FC8BAEE1F15A","Got you!","Попався!"
"55ECA3264AC0FE64FB91068E05629400","Grenade!","Граната!"
"C19905604317A2D12E166EAA0947ABD7","Grenade!","Граната!"
"DD3A6D02444D828228F616B48D326DE2","Grenade!","Граната!"
"E24A3EEB42197F726710E3BDF14C52E6","Grenade!","Граната!"
"A315D5264A8CD987428CEEAECBF55312","Ugh! These things smell even worse when they're burning!","Ugh! These things smell even worse when they're burning!"
"1AECBBCD45AF1178425B7DBB0739E94A","Let's see how it likes a bit of fire!","Погляньмо, як йому сподобається вогонь!"
"82E0C99641BBDB42C46364BCF88F3884","Ha! Don't like a burning, does it!","Ха! Не подобається горіти, чи не так!"
"D8CE8A224580CAAB20A4D28214239702","Ha! Don't like a burning, does it!","Ха! Не подобається горіти, чи не так!"
"BDB88F1B4ADFEB2E92B9039304C4B02F","Haha! Don't like a burning, does it!","Ха-ха! Не подобається горіти, чи не так!"
"1B044EC646473A0C2600869B8D8F93FE","Hark at him who's never been face to face with one of these things!","Hark at him who's never been face to face with one of these things!"
"125F85A04A42367773F87CB4C35BD322","Has it fled?!","Він утік?!"
"24383CB74B0905A07B8808BDAC77912C","Has it fled?!","Він утік?!"
"6516D6C94910FD2BD3A35384E92405B5","Has it fled?!","Він утік?!"
"DA864ACF4645FA2EAA5D16BF109B9E5B","Has it fled?","Він утік?"
"DF31BBBC4B1D01FD604097A1A9CAE9F3","Has it fled?!","Він утік?!"
"5CA010C14D1307CEA9DB06A07367B58F","Have faith, brothers!","Увіруйте, браття!"
"F24B79C7408604EC82199ABC475B8FF0","Have faith, brothers!","Увіруйте, браття!"
"C1AE2BC848AAB0167D6672A4457DB09B","Have no fears, brothers!","Не бійтеся, браття!"
"9FB987504BEB7179360A1A946719481D","He was right! Everything has already been lost!","He was right! Everything has already been lost!"
"13FAE2D04899930CEAFE739EC110BEAC","He's being bitten!","Його вкусили!"
"62E3413F4E8E3E12823806A83C647E00","He's being bitten!","Його вкусили!"
"D45DAEB94DC6BEC64FE322921A3952EB","He's being bitten!","Його вкусили!"
"410450CB46AB4C080118B0BFF1922AB3","He's being bitten!","Його вкусили!"
"402C49E94FB8E22402C06DACC14CAC56","Fuck ! He's dead!","Блядь ! Це мертвяк!"
"68EE200F4EC3AB81507F42BA52A5AC68","Fuck ! He's dead!","Блядь ! Це мертвяк!"
"A099E1124015E0D73FA19E9C075F1FE4","Fuck! He's dead!","Блядь! Це мертвяк!"
"A5E597514F2019D02B3BD3AADF81DDC9","Fuck ! He's dead!","Блядь ! Це мертвяк!"
"B256E2754C8510F3510CA4ADC33655BA","Fuck ! He's dead!","Блядь ! Це мертвяк!"
"E2374FC14555B0056D4277A842861036","Fuck ! He's dead!","Блядь ! Це мертвяк!"
