"710A687A46045024E46008B8AA9D13DA","Bring back his knife to its owner","Поверніть ніж його власнику","","","","","","","","","","","","","","","","","","",""
"8BCC922E4E976A9DA14E9BBACD0D3795","Burying the past","Поховання минулого","","","","","","","","","","","","","","","","","","",""
"4C273BEC4E3843FA7EBC6290F8E28B25","Cabinet","Кабінет","","","","","","","","","","","","","","","","","","",""
"0D5A81E94A2839BB5FCAC2BD00B9F467","Cadogan","Кадоґан","","","","","","","","","","","","","","","","","","",""
"AAD6C79B45EE73FC585E8987BC315AF4","Retaliation","Помста","","","","","","","","","","","","","","","","","","",""
"5AC2512B4B038C7A8B173A9F669AE9F9","Calhoun","Келгун","","","","","","","","","","","","","","","","","","",""
"08534ECB41FC6EC136B4F58649827691","A jovial and self-centred hedonist, Calhoun Russel claims he is always happy to try exotic new meals. If I ever find an intriguing table, he would like me to report back to him and share the address. I wonder what kind of restaurant would please and surprise a man of such delicate taste?","A jovial and self-centred hedonist, Calhoun Russel claims he is always happy to try exotic new meals. If I ever find an intriguing table, he would like me to report back to him and share the address. I wonder what kind of restaurant would please and surprise a man of such delicate taste?","","","","","","","","","","","","","","","","","","",""
"C6C9794A476E30EB92396894E64DF756","A surprise for the London's lone gourmet","A surprise for the London's lone gourmet","","","","","","","","","","","","","","","","","","",""
"55A0BD654A05382339A1FF80354FB442","Talk and check on the panicking man","Talk and check on the panicking man","","","","","","","","","","","","","","","","","","",""
"8C3585D843AFFBB9E658AA975E742465","Camellia","Камелія","","","","","","","","","","","","","","","","","","",""
"3024A58345BEF5E5508349B181C1AB7B","A short-handwritten poem by Richard Nithercott","A short-handwritten poem by Richard Nithercott","","","","","","","","","","","","","","","","","","",""
"4F51F518406806484046449A36D7F170","Carina","Каріна","","","","","","","","","","","","","","","","","","",""
"62B6D82D45AA7EA5A3D4A482CB959C1E","Carol","Керол","","","","","","","","","","","","","","","","","","",""
"0B09379B4CD3808666546BA9155384C4","Carolyn","Керолін","","","","","","","","","","","","","","","","","","",""
"85802D3F4C1DA063F092BC8A7A82A8BD","Charlotte","Шарлотта","","","","","","","","","","","","","","","","","","",""
"D762477C4B6DDFAD953B4780B83DA591","Emily is missing","Емілі зникла","","","","","","","","","","","","","","","","","","",""
"F2E369984E09ABBD96AD3E9097E329CD","Charlotte Ashbury, the adopted daughter of Elisabeth, is a strong young woman with first-hand knowledge of vampires. It seems she recently revealed her interest in the subject to her best friend Emily, who shares her romantic enthusiasm for these immortal figures. Charlotte fears this recent interest may have put Emily in trouble, since the young woman has recently disappeared. Charlotte would like me to investigate about this absence. ","Charlotte Ashbury, the adopted daughter of Elisabeth, is a strong young woman with first-hand knowledge of vampires. It seems she recently revealed her interest in the subject to her best friend Emily, who shares her romantic enthusiasm for these immortal figures. Charlotte fears this recent interest may have put Emily in trouble, since the young woman has recently disappeared. Charlotte would like me to investigate about this absence. ","","","","","","","","","","","","","","","","","","",""
"A79CEE2140A217E81B9CE195319957EA","Check on the victim","Огляньте жертву","","","","","","","","","","","","","","","","","","",""
"D91C6D0E470841BF3438FFA9FC977ABF","Clarence","Кларенс","","","","","","","","","","","","","","","","","","",""
"9952395D40BD8D082D30799ABE67F5CE","Clay","Клей","","","","","","","","","","","","","","","","","","",""
"7FA947B4460AEC25807C6CBD66196D80","I may have found an interesting way to finally see the irritating and vindictive Clay Cox become a gentler soul, of sorts. He confessed he would be relieved to retrieve his favourite knife – the one his wife offered him as a wedding present, and that he considers his lucky charm. He told me he left the blade in some sort of hideout. I really don’t know if I should bring such weapon to such a man… But to see a grateful Clay Cox? I’m tempted to take the chance.","I may have found an interesting way to finally see the irritating and vindictive Clay Cox become a gentler soul, of sorts. He confessed he would be relieved to retrieve his favourite knife – the one his wife offered him as a wedding present, and that he considers his lucky charm. He told me he left the blade in some sort of hideout. I really don’t know if I should bring such weapon to such a man… But to see a grateful Clay Cox? I’m tempted to take the chance.","","","","","","","","","","","","","","","","","","",""
"ED3B93B24069BD8E6BE094A03E1AC9DE","Tool of the trade","Tool of the trade","","","","","","","","","","","","","","","","","","",""
"EF7BBD8F4723A652DC4AD4944FEFE94B","Clayton","Клейтон","","","","","","","","","","","","","","","","","","",""
"54A0A0D14361216BCE6450914BF65FC7","Confront William Bishop","Здолайте Вільяма Бішопа","","","","","","","","","","","","","","","","","","",""
"4EC80A9A4E4BCBD86045B2AD1572E69D","Console","Console","","","","","","","","","","","","","","","","","","",""
"9AC9B4464D226A64069E94A50C7268F7","Cristina","Христина","","","","","","","","","","","","","","","","","","",""
"48F4001149F5AC08B110688EB9FCFA24","Darius","Даріус","","","","","","","","","","","","","","","","","","",""
"369CFBE141E99CDEB15E1587396F013D","Darius Petrescu's letter","Письмо Даріуса Петреску","","","","","","","","","","","","","","","","","","",""
"87F8E0D347DD56AC6DD16DB51A1FA001","Stop Doris Fletcher","Зупиніть Доріс Флетчер","","","","","","","","","","","","","","","","","","",""
"ABA2FC324460A6F04797008E9BE8C567","Doris Fletcher's current diary, with some pages glued by some sticky mucus","Нинішній щоденник Доріс Флетчер, деякі сторінки якого склеєні липким слизом","","","","","","","","","","","","","","","","","","",""
"F577A865420C3A75DEB6488EBF4DA613","Doris Fletcher former diary","Колишній щоденник Доріс Флетчер","","","","","","","","","","","","","","","","","","",""
"BE1DD48A44784C2E5852D1A6F2D9136B","Dorothy","Дороті","","","","","","","","","","","","","","","","","","",""
"BFA7FBCA4D58AA82E06A18914ACF5268","DoubleTalk_Bench","DoubleTalk_Bench","","","","","","","","","","","","","","","","","","",""
"CB562B63457EE0733F398F8511A976BB","Dr. Ackroyd","Д-р Акройд","","","","","","","","","","","","","","","","","","",""
"379C8B3744B38B57C39F9D95C533BEB0","Dr. Edgar Swansea","Д-р Едґар Свонсі","","","","","","","","","","","","","","","","","","",""
"9B0AD85840BE2230EA0F90833CFCF2C4","Dr. Strickland","Д-р Стрикленд","","","","","","","","","","","","","","","","","","",""
"1B2C773F4A77AE85D7FF3B8BDEBD4F2E","Dr. Tippets","Д-р Тіппец","","","","","","","","","","","","","","","","","","",""
"1710D0DC43058A91C5C975ABC424B74D","Dyson","Дайсон","","","","","","","","","","","","","","","","","","",""
"7AF14D614E4BF2592CCA3D8EBF19084E","Dyson Delaney seems to be the most misanthropic and depressed drunk I ever met. He spoke to me about a bomb that exploded in the East End Docks a few years back and took all he had and all he believed in. The man claims he started drinking the day after, and now he can’t remember where the tragedy occurred to pay his homage to the dead. I am convinced this broken man needs to make peace with his past if he ever wants to recover. Maybe I could try to find the place so he can grieve and find his peace?","Dyson Delaney seems to be the most misanthropic and depressed drunk I ever met. He spoke to me about a bomb that exploded in the East End Docks a few years back and took all he had and all he believed in. The man claims he started drinking the day after, and now he can’t remember where the tragedy occurred to pay his homage to the dead. I am convinced this broken man needs to make peace with his past if he ever wants to recover. Maybe I could try to find the place so he can grieve and find his peace?","","","","","","","","","","","","","","","","","","",""
"56DE965C435D01D2DF54BEA91382BACA","Edwina","Едвіна","","","","","","","","","","","","","","","","","","",""
"10D6876E4BDCCEDF93D2AFAF96D1B5F4","Save the panicking man by defeating the Skals","Save the panicking man by defeating the Skals","","","","","","","","","","","","","","","","","","",""
"C081A72A407184EEC16BEDAB720E2ED2","Embankment Sewers","Набережні каналізації","","","","","","","","","","","","","","","","","","",""
"6530CF2A438F58D1AD09D6AE5963C984","Emelyne","Емелін","","","","","","","","","","","","","","","","","","",""
"03DD3863440A743931CCBCA1E683890D","Enforcer","Викидайло","","","","","","","","","","","","","","","","","","",""
"43DE40CD4790A6913AFAFB8944C92D39","Enforcer","Викидайло","","","","","","","","","","","","","","","","","","",""
"5653E2C04180CF03958C3FB1C3F5044F","Enforcer","Викидайло","","","","","","","","","","","","","","","","","","",""
"59329E04466FC6EE7F79C48C404E911D","Enforcer","Викидайло","","","","","","","","","","","","","","","","","","",""
"9E2CE0074093FABC2013EA900285C397","Enforcer","Викидайло","","","","","","","","","","","","","","","","","","",""
"9EB475C4438A48C06437B8885D591D98","Enforcer","Викидайло","","","","","","","","","","","","","","","","","","",""
"AF0ECA8540E1642A23E6C1A2E17BDB97","Enforcer","Викидайло","","","","","","","","","","","","","","","","","","",""
"B210BC434D8BCE247A73569797DBE46A","Enforcer","Викидайло","","","","","","","","","","","","","","","","","","",""
"D090BFDF4CF9F7A3CBE90DB4693CA1D8","Enforcer","Викидайло","","","","","","","","","","","","","","","","","","",""
"7EADC3A442176996C695269EE9D1143D","Enid","Енід","","","","","","","","","","","","","","","","","","",""
"D97E815D4F35805062B26099A570D5BA","Enter the Pembroke Hospital","Увійдіть до Пембруцької лікарні","","","","","","","","","","","","","","","","","","",""
"84E6A4DA438B610B813E56895837E8EB","Escape from the theatre","Втечіть з театру","","","","","","","","","","","","","","","","","","",""
"54B3789842E0150BA808BC9200E6FC7E","Eternal Thirst","Вічна жага","","","","","","","","","","","","","","","","","","",""
"6BDB82A34C394F6E77BD4D97EBA18572","Family Portraits","Сімейні портрети","","","","","","","","","","","","","","","","","","",""
"27B8BBFD457628C4A891E19A459CF7EE","Fight Geoffrey McCullum","Fight Geoffrey McCullum","","","","","","","","","","","","","","","","","","",""
"E3AF59E54F16613463F7A2AB57E4517A","Find Albert Palmer's appointment","Find Albert Palmer's appointment","","","","","","","","","","","","","","","","","","",""
"6E72F4E042990838E64E188E8A5EE967","Retrieve Barrett Lewis' box","Retrieve Barrett Lewis' box","","","","","","","","","","","","","","","","","","",""
"B6D0247E4510BBC1B52B55AAFD877F42","Locate Emily's house","Знайдіть будинок Емілі","","","","","","","","","","","","","","","","","","",""
"74894BD14ACA048F2200B4A18AFFE60F","Find Clayton in the area","Знайдіть Клейтона неподалік","","","","","","","","","","","","","","","","","","",""
"3FCFB2D549E482001858ACA578B49E5B","Find Doris Fletcher","Знайдіть Доріс Флетчер","","","","","","","","","","","","","","","","","","",""
"D64AD46849E5F85CC02C63A8D9DCAFDA","Find Dorothy in the area","Знайдіть Дороті неподалік","","","","","","","","","","","","","","","","","","",""
"0C3F6CF74BB31A459D725098E98E90AB","Find Dorothy in the dispensary","Знайдіть Дороті в диспансері","","","","","","","","","","","","","","","","","","",""
"6C0808084BFADF5F1DB26A8180201785","Locate Harriet Jones","Locate Harriet Jones","","","","","","","","","","","","","","","","","","",""
"2D5560CC4BFA8C3A8F011285DB9BAB01","Find Louise Teasdale","Знайдіть Луїзу Тісдейл","","","","","","","","","","","","","","","","","","",""
